"number";"player";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"Carlos Vicente";"F M";17;942;4;0;0.76;1.72;3.22;2.38;0.31;0.23
2;"Lucas Boyé";"F M";12;913;3;0;2.66;1.48;4.09;1.51;0.4;0.15
3;"Antonio Martínez";"F";16;1013;2;1;2.49;0.27;3.85;0.62;0.34;0.06
4;"Denis Suárez";"M";15;832;1;0;0.43;1.41;0.88;0.84;0.1;0.09
5;"Ander Guevara";"M";11;332;1;0;0.27;0.54;0.5;0.12;0.14;0.03
6;"Nahuel Tenaglia";"D";16;1440;1;0;0.63;0.19;1.11;0.1;0.07;0.01
7;"Pablo Ibáñez";"M";17;1003;1;0;1.88;0.63;2.56;0.39;0.23;0.03
8;"Jonny";"D";17;1516;0;0;0.3;0.59;0.46;0.78;0.03;0.05
9;"Carles Aleñá";"F M";17;913;0;3;1.28;1.18;1.08;1.59;0.11;0.16
10;"Mariano";"F";9;266;0;0;1.69;0.68;0.15;0.76;0.05;0.26
11;"Jon Guridi";"F M";11;397;0;0;0.91;0;0.8;0;0.18;0
12;"Antonio Sivera";"GK";17;1530;0;0;0;0;0;0;0;0
13;"Moussa Diarra";"D";3;225;0;0;0;0.4;0;0.02;0;0.01
14;"Jon Pacheco Dozagarat";"D";11;871;0;0;0.21;0.31;0.1;0.64;0.01;0.07
15;"Antonio Blanco";"M";15;1303;0;1;0.97;0.48;0.33;0.56;0.02;0.04
16;"Abderrahmane Rebbach";"F M";14;723;0;0;2.49;1.62;1.53;1.88;0.19;0.23
17;"Carlos Benavídez";"S";4;38;0;0;2.37;2.37;0.07;0.02;0.16;0.05
18;"Victor Parada";"D";14;846;0;1;0.53;0.85;1.19;1.44;0.13;0.15
19;"Youssef Lekhedim";"D";12;669;0;0;0.81;0.67;0.38;0.71;0.05;0.1
20;"Facundo Garcés";"D";6;540;0;0;0.83;0;0.13;0;0.02;0
21;"Lander Pinillos";"S";1;1;0;0;0;0;0;0;0;0
22;"Calebe";"D F M";12;507;0;0;0.53;1.24;0.09;0.33;0.02;0.06
23;"Diego Morcillo";"S";1;8;0;0;11.25;0;0.57;0;6.38;0
24;"Aitor Mañas";"S";1;12;0;0;0;0;0;0;0;0
