"number";"player";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"Julián Álvarez";"F";18;1357;7;3;2.32;2.39;7.15;5.02;0.47;0.33
2;"Antoine Griezmann";"F";18;629;6;0;3.58;1.86;4.63;1.38;0.66;0.2
3;"Alexander Sørloth";"F";17;810;4;0;3;0.78;5.1;0.64;0.57;0.07
4;"Koke";"M";17;1197;2;2;0.53;1.05;0.61;1.56;0.05;0.12
5;"Álex Baena";"M";10;578;2;1;1.56;2.65;0.99;2;0.15;0.31
6;"Conor Gallagher";"M";18;587;2;0;1.84;0.46;1.02;0.47;0.16;0.07
7;"Giuliano Simeone";"F M";17;1301;2;4;1.52;0.97;4.31;3.04;0.3;0.21
8;"Thiago Almada";"M";11;421;2;1;2.14;1.71;2.03;1.17;0.43;0.25
9;"Nicolás González";"D F M";15;964;1;0;2.24;0.65;3.01;1.36;0.28;0.13
10;"Robin Le Normand";"D";12;939;1;0;0.29;0;1.09;0;0.1;0
11;"Pablo Barrios Rivas";"M";17;1311;1;0;1.17;0.89;1.23;1.11;0.08;0.08
12;"Jan Oblak";"GK";17;1530;0;0;0;0;0;0;0;0
13;"Giménez";"D";7;541;0;0;1.16;0;0.72;0;0.12;0
14;"Marcos Llorente";"D M";14;1174;0;3;0.54;0.92;1.27;3.27;0.1;0.25
15;"Clement Lenglet";"D";9;733;0;0;0.25;0.37;0.04;0.07;0;0.01
16;"David Hancko";"D";18;1452;0;2;0.74;0.62;0.62;1.93;0.04;0.12
17;"Juan Musso";"GK";1;90;0;0;0;0;0;0;0;0
18;"Javi Galán";"D";5;120;0;0;0;2.25;0;0.19;0;0.14
19;"Giacomo Raspadori";"F";11;186;0;1;3.39;1.94;0.88;0.95;0.42;0.46
20;"Matteo Ruggeri";"D";12;728;0;0;0.37;0.99;0.18;0.95;0.02;0.12
21;"Nahuel Molina";"D";13;521;0;1;0.35;1.38;0.04;1.13;0.01;0.19
22;"Marc Pubill";"D";6;382;0;1;0.24;0.47;0.02;0.52;0.01;0.12
23;"Johnny Cardoso";"M";4;212;0;0;0.42;0.42;0.01;0.02;0.01;0.01
