"number";"player";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"Roberto Navarro";"M";15;553;3;1;1.63;1.95;1.93;1.09;0.31;0.18
2;"Nico Williams";"M";15;1070;3;2;2.27;1.93;4.48;3.77;0.38;0.32
3;"Alex Berenguer";"F M";17;1253;2;2;1.72;2.01;3.63;3.65;0.26;0.26
4;"Gorka Guruzeta";"F M";17;1085;2;0;3.24;1;4.76;1.5;0.39;0.12
5;"Iñaki Williams";"F M";12;867;1;0;2.6;0.73;3.13;0.69;0.32;0.07
6;"Oihan Sancet";"M";14;983;1;0;2.2;1.28;3.24;0.81;0.3;0.07
7;"Aitor Paredes";"D";12;995;1;0;0.63;0.09;1.22;0.02;0.11;0
8;"Mikel Jauregizar";"M";19;1658;1;0;1.3;0.81;0.9;1.05;0.05;0.06
9;"Maroan Sannadi";"F";8;246;1;0;2.56;0.73;0.96;0.59;0.35;0.22
10;"Alejandro Rego";"M";13;395;1;0;1.37;1.14;0.28;0.28;0.06;0.06
11;"Yuri";"D";16;1352;0;0;0.67;0.6;0.29;0.47;0.02;0.03
12;"Íñigo Lekue";"D";6;353;0;0;0.76;0;0.13;0;0.03;0
13;"Aymeric Laporte";"D";11;862;0;1;0.52;0.21;0.24;0.31;0.02;0.03
14;"Mikel Vesga";"M";12;216;0;0;0.83;0.42;0.2;0.07;0.08;0.03
15;"Unai Simón";"GK";19;1710;0;0;0;0;0;0;0;0
16;"Andoni Gorosabel";"D";9;490;0;1;0.55;1.1;0.17;0.31;0.03;0.06
17;"Dani Vivian";"D";17;1470;0;0;0.49;0.18;0.8;0.72;0.05;0.04
18;"Beñat Prados";"M";2;87;0;0;1.03;2.07;0.02;0.04;0.02;0.04
19;"Inigo Ruiz de Galarreta";"M";17;1140;0;0;0.63;0.63;0.25;0.9;0.02;0.07
20;"Jesús Areso";"D";16;985;0;1;0.09;1.19;0.03;1.21;0;0.11
21;"Nicolás Serrano";"M";8;159;0;0;3.4;1.7;0.26;0.25;0.15;0.14
22;"Unai Gómez";"F M";11;290;0;0;2.17;0.93;0.39;0.22;0.12;0.07
23;"Adama Boiro";"D";6;365;0;0;0;0.49;0;0.09;0;0.02
24;"Urko Izeta";"S";6;41;0;0;6.59;2.2;0.47;0.03;1.03;0.07
25;"Selton Sánchez";"M";4;128;0;0;2.81;2.11;0.28;0.06;0.2;0.04
