"number";"player";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"Ferrán Torres";"F M";17;1107;11;1;3.33;1.38;9.68;2.11;0.79;0.17
2;"Robert Lewandowski";"F";13;660;8;1;4.36;0.82;8.52;1.4;1.16;0.19
3;"Raphinha";"F M";11;727;7;3;4.33;2.6;5.24;3.12;0.65;0.39
4;"Lamine Yamal";"F M";14;1176;7;7;4.67;2.53;6.81;5.72;0.52;0.44
5;"Dani Olmo";"M";13;829;4;2;3.47;2.61;3.67;2.39;0.4;0.26
6;"Fermín López";"M";12;644;4;2;3.77;1.54;2.49;2.63;0.35;0.37
7;"Marcus Rashford";"F M";17;1061;2;6;4.33;2.38;4.72;3.48;0.4;0.3
8;"Ronald Araújo";"D";11;648;2;0;0.83;0.14;0.76;0.05;0.11;0.01
9;"Pedri";"M";14;1121;2;5;1.04;2.73;1.15;3.47;0.09;0.28
10;"Jules Koundé";"D";17;1225;1;1;0.37;0.73;0.45;1.08;0.03;0.08
11;"Eric Garcia";"D M";18;1397;1;0;0.9;1.29;2.1;0.92;0.14;0.06
12;"Roony Bardghji";"M";9;232;1;1;4.66;2.33;1.36;1.29;0.53;0.5
13;"Andreas Christensen";"D";12;346;0;0;0.52;0.26;0.13;0.02;0.03;0
14;"Wojciech Szczesny";"GK";6;540;0;0;0;0;0;0;0;0
15;"Frenkie de Jong";"M";13;950;0;3;0.38;1.89;0.36;2.81;0.03;0.27
16;"Joan García";"GK";12;1080;0;0;0;0;0;0;0;0
17;"Gavi";"S";2;50;0;1;0;5.4;0;0.14;0;0.25
18;"Álex Balde";"D";14;1073;0;2;0.59;1.09;0.26;1.61;0.02;0.13
19;"Marc Casadó";"M";13;537;0;1;1.17;1.34;0.28;0.32;0.05;0.05
20;"Pau Cubarsí";"D";14;1230;0;0;0.44;0.29;0.34;0.35;0.03;0.03
21;"Marc Bernal";"M";7;115;0;1;0.78;0.78;0.03;0.51;0.03;0.4
22;"Gerard Martín";"D";16;924;0;0;0.19;0.78;0.06;0.53;0.01;0.05
23;"Toni Fernández";"F";1;48;0;0;0;1.88;0;0.09;0;0.17
24;"Jofre Torrents";"S";3;33;0;0;0;0;0;0;0;0
25;"Dro Fernández";"M";4;83;0;0;0;2.17;0;0.05;0;0.06
