"number";"player";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"Juan Camilo Hernández";"F";17;1498;7;3;3;1.38;6.36;3.36;0.38;0.2
2;"Antony";"M";12;1022;5;2;3.61;2.03;4.2;2.3;0.37;0.2
3;"Pablo Fornals";"M";17;1426;4;4;1.58;2.27;2.7;3.2;0.17;0.2
4;"Aitor Ruibal";"D M";13;701;3;0;1.93;1.41;2.29;0.83;0.29;0.11
5;"Abdessamad Ezzalzouli";"M";11;783;3;3;3.22;1.49;4.39;3.22;0.5;0.37
6;"Diego Llorente";"D";3;81;1;0;1.11;0;0.74;0;0.82;0
7;"Cédric Bakambu";"S";7;49;1;0;7.35;1.84;0.89;0.02;1.64;0.03
8;"Marc Bartra";"D";13;1089;1;0;0.41;0.17;0.37;0.03;0.03;0
9;"Giovani Lo Celso";"M";14;886;1;2;2.03;2.23;1.81;2.51;0.18;0.25
10;"Sergi Altimira";"M";10;540;1;1;0.33;0.67;0.35;0.18;0.06;0.03
11;"Valentín Gómez";"D";13;815;1;0;0.88;0.44;0.91;0.25;0.1;0.03
12;"Ricardo Rodríguez";"D";11;679;0;1;0.27;0.53;0.12;0.42;0.02;0.06
13;"Héctor Bellerín";"D";14;1014;0;2;0.27;1.51;0.2;2.35;0.02;0.21
14;"Pau López";"GK";7;630;0;0;0;0;0;0;0;0
15;"Isco";"S";1;29;0;1;6.21;6.21;0.1;0.46;0.32;1.42
16;"Marc Roca";"M";12;751;0;1;0.36;0.84;0.27;1.24;0.03;0.15
17;"Júnior Firpo";"D";7;461;0;1;0.78;1.37;0.35;0.92;0.07;0.18
18;"Ezequiel Ávila";"S";6;39;0;0;2.31;0;0.14;0;0.33;0
19;"Sofyan Amrabat";"M";8;593;0;0;0.61;0.61;0.11;0.19;0.02;0.03
20;"Rodrigo Riquelme";"M";13;544;0;1;1.99;1.99;1.14;1.3;0.19;0.21
21;"Álvaro Vallés";"GK";10;900;0;0;0;0;0;0;0;0
22;"Natan";"D";17;1484;0;0;0.49;0.24;0.36;0.16;0.02;0.01
23;"Dani Pérez";"S";1;1;0;0;0;0;0;0;0;0
24;"Ángel Ortiz";"D";4;204;0;0;0;0.44;0;0.62;0;0.27
25;"Pablo García";"M";10;266;0;0;3.38;0.68;1.24;0.06;0.42;0.02
26;"Nelson Deossa";"M";9;356;0;0;1.52;0.76;0.21;0.23;0.05;0.06
