"number";"player";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"Borja Iglesias";"F";17;1005;7;2;2.33;1.25;6.29;1.41;0.56;0.13
2;"Williot Swedberg";"F M";11;464;3;0;1.55;0.19;2.71;0.15;0.53;0.03
3;"Iago Aspas";"F M";16;651;2;3;1.94;2.76;2.45;2.62;0.34;0.36
4;"Ferrán Jutglà";"F M";14;752;2;1;2.39;0.96;2.11;0.91;0.25;0.11
5;"Hugo Álvarez";"D F";10;372;2;0;0.73;1.69;0.19;0.39;0.05;0.09
6;"Pablo Durán";"F M";14;705;2;1;2.17;0.26;2.21;0.63;0.28;0.08
7;"Jones El Abdellaoui";"S";10;180;2;0;4.5;1.5;1.74;0.1;0.87;0.05
8;"Sergio Carreira";"D";15;1285;1;1;0.49;0.35;0.58;0.24;0.04;0.02
9;"Óscar Mingueza";"D";15;952;1;2;0.76;1.61;0.33;2.51;0.03;0.24
10;"Javier Rueda";"D";12;674;1;3;0.8;0.67;0.78;2.04;0.1;0.27
11;"Miguel Román";"M";10;633;1;0;1.14;1.28;1.09;0.96;0.16;0.14
12;"Marcos Alonso";"D";15;1261;0;0;0.64;0.36;0.44;0.36;0.03;0.03
13;"Ionut Radu";"GK";18;1620;0;0;0;0;0;0;0;0
14;"Mihailo Ristic";"D";4;265;0;0;0.34;0.68;0.02;0.07;0.01;0.02
15;"Fran Beltrán";"M";10;536;0;0;1.01;0.17;0.34;0.1;0.06;0.02
16;"Carl Starfelt";"D";11;776;0;0;0.35;0;0.33;0;0.04;0
17;"Joseph Aidoo";"D";3;195;0;0;0.92;0;0.35;0;0.16;0
18;"Ilaix Moriba";"M";18;1145;0;1;0.79;0.79;0.37;1.18;0.03;0.09
19;"Carlos Domínguez";"D";6;425;0;0;0.21;0.21;0.04;0.03;0.01;0.01
20;"Hugo Sotelo";"M";12;776;0;1;0.23;1.74;0.09;1.31;0.01;0.15
21;"Bryan Zaragoza";"F M";16;891;0;1;1.92;1.52;0.83;1.96;0.08;0.2
22;"Damián Rodríguez";"M";2;155;0;0;1.74;1.16;0.07;0.12;0.04;0.07
23;"Javier Rodríguez";"D";15;1063;0;0;0.25;0.51;0.19;0.13;0.02;0.01
24;"Yoel Lago";"D";4;340;0;0;0;0.26;0;0.02;0;0.01
25;"Manuel Fernández";"D";10;657;0;0;0.27;0;0.04;0;0.01;0
