"number";"player";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"Rafa Mir";"F M";17;1254;6;0;3.52;0.36;5.43;0.69;0.39;0.05
2;"André Silva";"F";14;768;4;0;2.58;1.64;3.72;1.14;0.44;0.13
3;"German Valera";"D F M";16;1194;3;2;0.9;1.43;1.42;2.16;0.11;0.16
4;"Alvaro Rodríguez";"F";14;750;3;4;3.6;1.8;5;1.9;0.6;0.23
5;"Adrià Pedrosa";"D";10;481;1;0;1.5;2.62;0.55;1.13;0.1;0.21
6;"Aleix Febas";"M";17;1530;1;0;0.71;0.76;1.46;0.78;0.09;0.05
7;"John Donald";"D M";11;290;1;0;1.24;0;0.71;0;0.22;0
8;"Rodrigo Mendoza";"F M";12;640;1;0;1.27;1.27;0.53;0.47;0.07;0.07
9;"Hector Fort";"D";9;323;1;2;2.79;1.11;0.65;0.21;0.18;0.06
10;"Martim Neto";"M";13;698;1;3;1.29;1.55;0.66;1.71;0.08;0.22
11;"Pedro Bigas";"D";13;1090;0;2;0.25;0.5;0.13;1.4;0.01;0.12
12;"Grady Diangana";"F M";7;303;0;0;1.49;0.89;0.2;0.2;0.06;0.06
13;"Iñaki Peña";"GK";11;990;0;0;0;0.18;0;0.12;0;0.01
14;"Leo Petrot";"D";15;465;0;0;0.19;0.19;0.07;0.03;0.01;0
15;"Josan";"D M";9;298;0;2;0.91;3.02;0.28;2.03;0.08;0.61
16;"Mourad El Ghezouani";"S";2;42;0;0;2.14;2.14;0.11;0.03;0.24;0.06
17;"Victor Chust";"D";12;861;0;0;0.31;0.21;0.29;0.05;0.03;0.01
18;"Jairo Izquierdo";"S";1;22;0;0;0;0;0;0;0;0
19;"Matías Dituro";"GK";6;540;0;0;0;0.17;0;0.08;0;0.01
20;"Yago Alonso";"M";4;109;0;0;1.65;1.65;0.15;0.08;0.13;0.07
21;"Álvaro Núñez";"D M";17;1507;0;2;0.18;1.13;0.12;2;0.01;0.12
22;"David Affengruber";"D";16;1379;0;0;0.26;0.26;0.58;0.22;0.04;0.01
23;"Ali Houary";"M";2;133;0;0;1.35;0;0.06;0;0.04;0
24;"Marc Aguado";"M";16;1100;0;0;0.08;0.08;0.06;0.03;0;0
25;"Federico Redondo";"S";4;10;0;0;0;0;0;0;0;0
26;"Bambo Diaby";"D";2;52;0;0;0;0;0;0;0;0
27;"Adam El Mokhtari";"S";2;4;0;0;0;0;0;0;0;0
