"number";"player";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"Pere Milla";"F M";15;1095;6;0;3.37;1.73;5.23;2.59;0.43;0.21
2;"Roberto Fernández";"F";17;1223;4;2;2.43;0.88;4.17;2.87;0.31;0.21
3;"Kike García";"F";16;625;3;0;3.31;1.3;4.62;1.1;0.67;0.16
4;"Carlos Romero";"D";16;1418;3;2;0.89;0.83;1.54;1.91;0.1;0.12
5;"Leandro Cabrera";"D";16;1440;2;0;1;0.31;1.55;0.33;0.1;0.02
6;"Javi Puado";"F M";8;679;2;0;1.99;1.33;4.84;0.96;0.64;0.13
7;"Miguel Ángel Rubio";"D";6;121;1;0;0.74;0;0.56;0;0.42;0
8;"Pol Lozano";"M";17;1195;1;0;0.53;0.53;0.18;0.32;0.01;0.02
9;"Edu Expósito";"M";16;1154;0;5;1.33;3.12;0.93;4.62;0.07;0.36
10;"Marko Dmitrovic";"GK";17;1530;0;0;0;0;0;0;0;0
11;"Fernando Calero";"D";13;1019;0;0;0.53;0.09;1.68;0.02;0.15;0
12;"Urko Gonzalez";"M";15;873;0;1;0.62;0.31;0.27;0.07;0.03;0.01
13;"José Salinas";"D";8;123;0;0;0;2.2;0;0.11;0;0.08
14;"Rubén Sánchez";"D";10;308;0;0;0.29;0.88;0.01;0.07;0;0.02
15;"Jofre Carreras";"M";10;345;0;0;0.52;0.78;0.18;0.21;0.05;0.06
16;"Luca Koleosho";"S";3;48;0;0;1.88;1.88;0.02;0.02;0.05;0.04
17;"Omar El Hilali";"D";17;1267;0;2;0.07;0.64;0.01;1.25;0;0.09
18;"Charles Pickel";"M";10;327;0;0;1.38;0.28;0.26;0.03;0.07;0.01
19;"Ramón Terrats";"M";10;242;0;0;0.74;1.12;0.03;0.74;0.01;0.28
20;"Clemens Riedel";"D";8;511;0;1;0.53;0.18;0.11;0.05;0.02;0.01
21;"Antoniu Roca";"M";6;73;0;0;3.7;1.23;0.18;0.02;0.22;0.02
22;"Tyrhys Dolan";"M";16;1176;0;3;1.3;1.22;1.28;2.63;0.1;0.2
