"number";"player";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"Borja Mayoral";"F";14;1066;4;1;1.18;0.34;3.41;0.53;0.29;0.04
2;"Mauro Arambarri";"M";18;1599;3;0;1.86;0.45;3.36;0.32;0.19;0.02
3;"Adrián Liso";"F M";15;1206;3;0;1.42;0.15;2.07;0.11;0.15;0.01
4;"Mario Martín";"F M";17;1145;2;0;1.1;0.31;1.31;0.19;0.1;0.01
5;"Juan Iglesias";"D M";17;1419;1;0;0.82;0.32;0.84;0.37;0.05;0.02
6;"Christantus Uche";"F";3;270;1;1;2;1.33;1.44;0.64;0.48;0.21
7;"Nyom";"D";6;187;0;0;1.44;0.96;0.13;0.11;0.06;0.05
8;"Juanmi";"S";6;105;0;0;0.86;0.86;0.06;0.03;0.05;0.02
9;"David Soria";"GK";18;1620;0;0;0;0.06;0;0.05;0;0
10;"Javi Muñoz";"F M";9;286;0;0;3.15;1.26;0.23;0.08;0.07;0.03
11;"Kiko Femenía";"D M";14;979;0;1;0.28;0.83;0.06;0.98;0.01;0.09
12;"Diego Rico";"D";17;1343;0;0;0.54;0.54;0.17;0.75;0.01;0.05
13;"Djené Dakonam";"D M";18;1320;0;0;0.2;0.07;0.07;0.07;0;0
14;"Alex Sola";"S";1;10;0;0;0;0;0;0;0;0
15;"Domingos Duarte";"D";16;1369;0;0;0.46;0;0.46;0;0.03;0
16;"Yvan Neyou";"S";5;49;0;0;0;0;0;0;0;0
17;"Luis Milla";"M";17;1494;0;7;0.72;2.17;0.36;3.74;0.02;0.23
18;"Abdelkabir Abqar";"D";10;709;0;1;0.76;0.38;0.33;0.61;0.04;0.08
19;"Abu Kamara";"M";9;162;0;0;1.67;1.11;0.37;0.05;0.21;0.03
20;"Coba da Costa";"M";13;316;0;0;1.42;0.85;0.23;0.08;0.07;0.02
21;"Ismael Bekhoucha";"D";3;96;0;1;0;0.94;0;0.72;0;0.68
22;"Hugo Solozabal";"S";1;4;0;0;0;0;0;0;0;0
23;"Davinchi";"D";7;416;0;0;0.65;0.43;0.17;0.03;0.04;0.01
24;"Joselu Pérez";"S";1;6;0;0;15;0;0.01;0;0.21;0
25;"Alex Sancris";"F M";13;596;0;1;1.66;0.91;0.35;0.88;0.05;0.13
26;"Alejandro Mestanza";"S";1;6;0;0;0;0;0;0;0;0
