"number";"player";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"Cristhian Stuani";"F";9;184;3;0;2.45;0;2.95;0;1.44;0
2;"Azz-Eddine Ounahi";"M";10;796;3;1;2.26;1.36;1.11;1.3;0.13;0.15
3;"Viktor Tsygankov";"F M";11;796;3;2;1.24;1.7;1.78;1.57;0.2;0.18
4;"Vladyslav Vanat";"F";14;1038;3;0;1.21;0.61;3.7;1.16;0.32;0.1
5;"Axel Witsel";"M";14;1160;1;0;0.78;0.54;1.11;0.29;0.09;0.02
6;"Arnau Martinez";"D M";15;1039;1;1;0.43;0.26;0.77;0.21;0.07;0.02
7;"Joel Roca";"F M";14;761;1;0;2.25;0.83;1.56;0.67;0.18;0.08
8;"Daley Blind";"D";15;1229;0;0;0.07;0.51;0.01;0.55;0;0.04
9;"Paulo Gazzaniga";"GK";16;1392;0;0;0;0;0;0;0;0
10;"David López";"D";3;207;0;0;0.43;0;0.65;0;0.28;0
11;"Thomas Lemar";"M";8;248;0;1;1.81;3.27;0.19;0.89;0.07;0.32
12;"Álex Moreno";"D";16;1389;0;1;0.65;0.45;1.16;1.08;0.08;0.07
13;"Portu";"F M";10;463;0;0;1.75;0.58;1.67;0.19;0.33;0.04
14;"Bryan Gil Salvatierra";"M";14;698;0;3;1.93;0.77;1.84;1.61;0.24;0.21
15;"Yangel Herrera";"M";2;118;0;0;0.76;0;0.02;0;0.01;0
16;"Iván Martín";"M";15;1210;0;1;0.22;0.74;0.36;0.87;0.03;0.06
17;"Abel Ruiz";"S";3;28;0;0;0;0;0;0;0;0
18;"Donny van de Beek";"M";2;37;0;0;4.86;0;0.08;0;0.19;0
19;"Dawda Camara";"F";2;73;0;0;2.47;1.23;0.16;0.07;0.2;0.09
20;"Jhon Solis";"M";12;362;0;0;0.75;0.25;0.18;0.06;0.05;0.02
21;"Hugo Rincón";"D";15;746;0;0;0.36;0.72;0.3;0.83;0.04;0.1
22;"Ladislav Krejcí";"D";2;180;0;0;0.5;0;0.12;0;0.06;0
23;"Alejandro Francés";"D";8;399;0;0;0.68;0.9;0.06;0.52;0.01;0.12
24;"Bojan Miovski";"F";1;44;0;0;0;0;0;0;0;0
25;"Yáser Asprilla";"F M";14;590;0;0;2.29;1.83;0.56;1.78;0.09;0.27
26;"Vitor Reis";"D";16;1337;0;0;0.34;0.27;0.34;0.72;0.02;0.05
27;"Vladyslav Krapyvtsov";"GK";2;136;0;0;0;0;0;0;0;0
28;"Lancinet Kourouma";"S";4;14;0;0;0;0;0;0;0;0
29;"Juan Arango";"S";1;6;0;0;0;0;0;0;0;0
