"number";"player";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"Etta Eyong";"F";12;989;5;1;2.37;0.64;6.35;1.6;0.58;0.15
2;"Iván Romero";"F M";13;1022;4;0;2.29;0.79;4.66;1.11;0.41;0.1
3;"Carlos Álvarez";"M";16;1131;2;1;1.43;1.75;1.11;3.16;0.09;0.25
4;"Jeremy Toljan";"D";16;1377;1;2;0.33;0.98;0.62;2.34;0.04;0.15
5;"Morales";"M";15;230;1;0;3.13;1.96;2.4;0.51;0.94;0.2
6;"Manuel Sánchez";"D";15;1331;1;1;0.47;0.68;0.95;0.95;0.06;0.06
7;"Adrián De la Fuente";"D";13;932;1;0;0.68;0.29;1.47;0.07;0.14;0.01
8;"Goduine Koyalipou";"F";11;217;1;0;4.15;0.41;1.27;0.36;0.52;0.15
9;"Kervin Arriaga";"M";13;801;1;0;0.67;0.22;0.19;0.1;0.02;0.01
10;"Mat Ryan";"GK";14;1260;0;0;0;0;0;0;0;0
11;"Diego Pampín";"D";3;104;0;0;0;0.87;0;0.07;0;0.06
12;"Iker Losada";"S";5;56;0;0;1.61;3.21;0.22;0.04;0.36;0.07
13;"Pablo Martínez";"M";10;587;0;1;2.15;1.07;0.87;1.38;0.13;0.21
14;"Unai Vencedor";"M";10;705;0;0;0;1.15;0;1.15;0;0.15
15;"Sergio Lozano";"S";1;7;0;0;0;0;0;0;0;0
16;"Víctor García";"M";10;346;0;0;1.04;1.04;0.13;0.4;0.03;0.1
17;"Oriol Rey";"M";12;745;0;0;0.48;0.24;0.18;0.1;0.02;0.01
18;"Pablo Cuñat";"GK";2;180;0;0;0;0;0;0;0;0
19;"Jon Ander Olasagasti";"M";12;424;0;1;1.27;0.85;0.21;0.94;0.04;0.2
20;"Alan Matturro";"D";5;170;0;0;0.53;0;0.01;0;0.01;0
21;"Matías Moreno";"D";11;865;0;0;0.42;0.21;0.35;0.12;0.04;0.01
22;"Unai Elgezabal";"D M";11;942;0;0;0.19;0.19;0.55;0.13;0.05;0.01
23;"Jorge Cabello";"D";5;367;0;0;0;0;0;0;0;0
24;"Roger Brugué";"F M";15;914;0;1;1.77;0.59;2.85;0.66;0.28;0.06
25;"Carlos Espí";"S";5;68;0;0;1.32;0;0.04;0;0.05;0
26;"Kareem Tunde";"S";1;15;0;0;6;0;0.08;0;0.47;0
