"number";"player";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"Vedat Muriqi";"F";16;1281;9;0;3.02;0.42;7.31;0.22;0.51;0.02
2;"Samú Costa";"M";14;1041;3;0;1.21;0.61;0.65;0.76;0.06;0.07
3;"Mateo Joseph";"F M";16;1068;2;1;1.85;0.67;3.71;0.59;0.31;0.05
4;"Pablo Maffeo";"D";13;1111;1;0;0.16;0.32;0.16;0.12;0.01;0.01
5;"Omar Mascarell";"M";10;628;1;1;0.14;0.72;0.16;0.27;0.02;0.04
6;"Takuma Asano";"F M";12;336;1;0;2.14;0.54;0.93;0.93;0.25;0.25
7;"Manuel Morlanes";"M";14;864;1;0;0.42;0.94;0.54;0.7;0.06;0.07
8;"Mateu Morey";"D";11;464;1;0;0.78;0.58;0.18;0.52;0.04;0.1
9;"Toni Lato";"D";4;167;0;0;0;1.08;0;0.06;0;0.03
10;"Raíllo";"D";17;1530;0;1;0.53;0.29;0.51;0.23;0.03;0.01
11;"Sergi Darder";"M";17;1251;0;1;1.29;1.65;1.1;2.02;0.08;0.15
12;"Johan Mojica";"D";17;1299;0;3;0.69;1.32;0.24;2.24;0.02;0.16
13;"Marash Kumbulla";"D";5;239;0;0;0.38;0.38;0.02;0.02;0.01;0.01
14;"Martin Valjent";"D";17;1530;0;0;0.53;0.06;0.31;0.03;0.02;0
15;"Dani Rodríguez";"S";2;56;0;0;1.61;0;0.02;0;0.04;0
16;"Abdón Prats";"S";7;54;0;0;1.67;3.33;0.42;0.11;0.7;0.19
17;"Leo Román";"GK";12;1080;0;0;0;0;0;0;0;0
18;"Antonio Sánchez";"M";13;505;0;0;0.53;0.71;0.07;0.49;0.01;0.09
19;"Javi Llabrés";"M";7;112;0;0;1.61;0.8;0.08;0.04;0.07;0.04
20;"Pablo Torre";"M";15;634;0;2;0.71;1.99;0.43;1.16;0.06;0.16
21;"Lucas Bergström";"GK";5;450;0;0;0;0;0;0;0;0
22;"David López";"D";1;64;0;0;0;0;0;0;0;0
23;"Marc Domenech";"M";7;198;0;1;1.36;0.91;0.12;0.5;0.05;0.23
24;"Jan Salas";"S";2;6;0;0;0;0;0;0;0;0
25;"Jan Virgili";"M";12;763;0;4;1.89;2.12;1.21;2.59;0.14;0.31
