"number";"player";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"Ante Budimir";"F";17;1322;6;0;2.79;0.41;6.99;0.43;0.48;0.03
2;"Raul García";"F";17;554;3;0;3.09;0.81;3.29;0.31;0.53;0.05
3;"Rubén García";"F M";16;877;2;4;1.23;1.95;0.72;2.84;0.07;0.29
4;"Alejandro Catena";"D";17;1530;2;1;0.65;0.35;2;0.23;0.12;0.01
5;"Víctor Muñoz";"F M";18;1354;2;1;2.19;0.73;2.05;0.7;0.14;0.05
6;"Iker Benito";"M";5;147;1;0;1.22;1.22;0.39;0.14;0.24;0.09
7;"Abel Bretones";"D M";15;1341;1;0;0.74;0.54;0.58;0.37;0.04;0.02
8;"Enzo Boyomo";"D";16;1421;1;0;0.13;0.25;0.57;0.77;0.04;0.05
9;"Moi Gómez";"M";14;834;0;0;0.76;0.76;0.25;0.73;0.03;0.08
10;"Kike Barja";"M";13;136;0;0;0.66;0.66;0.02;0.08;0.01;0.05
11;"Valentin Rosier";"D";11;791;0;1;0.34;0.57;0.09;0.61;0.01;0.07
12;"Lucas Torró";"M";17;1283;0;1;0.84;0.42;1.09;0.84;0.08;0.06
13;"Javi Galán";"D";1;90;0;0;0;1;0;0.1;0;0.1
14;"Jon Moncayola";"D M";18;1591;0;2;0.68;1.24;1;2.88;0.06;0.16
15;"Sergio Herrera";"GK";18;1620;0;0;0;0;0;0;0;0
16;"Sheraldo Becker";"S";9;124;0;0;2.18;1.45;0.17;0.25;0.12;0.18
17;"Aimar Oroz";"F M";12;872;0;2;1.44;1.75;0.86;1.8;0.09;0.19
18;"Juan Cruz";"D";12;586;0;0;0.15;0.31;0.55;0.07;0.08;0.01
19;"Jorge Herrando";"D";14;660;0;0;0.41;0;0.17;0;0.02;0
20;"Iker Muñoz";"M";6;262;0;0;0.34;0;0.03;0;0.01;0
21;"Iñigo Arguibide";"D";5;182;0;0;0;0.49;0;0.03;0;0.02
22;"Asier Osambela";"D";6;202;0;0;0.45;0.89;0.05;0.11;0.02;0.05
