"number";"player";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"Salomón Rondón";"F";16;1054;2;0;2.05;0.43;3.78;0.19;0.32;0.02
2;"Leander Dendoncker";"M";15;1305;1;0;0.62;0.48;0.54;0.43;0.04;0.03
3;"Luka Ilic";"F M";13;540;1;0;0.67;0.17;1.16;0.06;0.19;0.01
4;"Alberto Reina";"M";16;815;1;0;0.77;0.77;0.31;0.59;0.03;0.06
5;"Federico Viñas";"F M";14;860;1;0;1.57;1.05;2.2;1.45;0.23;0.15
6;"David Carmo";"D";12;964;1;0;0.47;0.28;0.82;0.1;0.08;0.01
7;"Santiago Cazorla";"M";11;409;0;0;1.1;1.76;0.22;0.75;0.05;0.16
8;"Eric Bailly";"D";4;360;0;0;0.5;0;0.14;0;0.04;0
9;"Ovie Ejaria";"M";7;181;0;0;1.49;0.5;0.22;0.08;0.11;0.04
10;"Aarón";"GK";17;1530;0;0;0;0;0;0;0;0
11;"Dani Calvo";"D";9;694;0;0;0;0;0;0;0;0
12;"David Costas";"D";12;991;0;0;0;0.18;0;0.11;0;0.01
13;"Nacho Vidal";"D";12;983;0;0;0.55;0.18;1.25;0.07;0.11;0.01
14;"Josip Brekalo";"F M";11;407;0;0;1.33;2.21;0.22;1.2;0.05;0.26
15;"Javier López";"D";6;398;0;0;0;1.36;0;0.31;0;0.07
16;"Haissem Hassan";"F M";16;903;0;1;1.79;0.7;1.06;0.48;0.11;0.05
17;"Oier Luengo";"D";2;138;0;0;0;0;0;0;0;0
18;"Rahim Alhassane";"D";16;1132;0;0;0.08;0.8;0.01;0.87;0;0.07
19;"Kwasi Sibo";"M";8;402;0;0;0.67;0.22;0.11;0.02;0.02;0
20;"Ilyas Chaira";"F M";15;901;0;0;1.9;0.5;1.55;0.29;0.15;0.03
21;"Borja Sánchez";"S";1;9;0;0;0;0;0;0;0;0
22;"Marco Esteban";"S";1;40;0;0;0;0;0;0;0;0
23;"Omar Falah";"S";1;9;0;0;0;0;0;0;0;0
24;"Santiago Colombatto";"M";13;979;0;1;0.74;0.92;0.43;1.27;0.04;0.12
25;"Álex Forés";"F";10;176;0;0;3.58;0;0.72;0;0.37;0
26;"Lucas Ahijado";"D";7;510;0;1;0.88;0.71;0.42;0.84;0.07;0.15
27;"Pablo Agudín";"S";4;46;0;0;3.91;0;0.04;0;0.08;0
