"number";"player";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"Jorge De Frutos";"F M";16;1212;5;1;1.93;1.19;5.23;1.61;0.39;0.12
2;"Álvaro García";"F M";18;1257;3;1;2.08;1.43;5.05;3.44;0.36;0.25
3;"Alfonso Espino";"D M";12;366;1;0;0.98;1.23;1.19;1.15;0.29;0.28
4;"Isi Palazón";"F M";17;1282;1;2;1.97;1.33;2.09;1.86;0.15;0.13
5;"Fran Pérez";"F M";15;668;1;0;1.08;1.35;1.2;1.56;0.16;0.21
6;"Pep Chavarría";"D";18;1551;1;2;0.7;0.87;0.44;2.11;0.03;0.12
7;"Nobel Mendy";"D";10;807;1;0;0.78;0.11;1.51;0.01;0.17;0
8;"Alemão";"F";11;553;1;0;2.12;0.49;2.06;0.13;0.33;0.02
9;"Gerard Gumbau";"M";12;225;0;1;2.8;2.4;0.31;0.25;0.12;0.1
10;"Óscar Trejo";"S";4;35;0;0;2.57;7.71;0.11;0.15;0.29;0.39
11;"Unai López";"M";16;1070;0;3;1.18;1.85;0.48;1.24;0.04;0.1
12;"Florian Lejeune";"D";18;1613;0;0;1.28;0.5;0.89;0.22;0.05;0.01
13;"Iván Balliu";"D";8;183;0;0;0.98;0.49;0.61;0.02;0.3;0.01
14;"Luiz Felipe";"D";7;289;0;0;0.93;0;0.24;0;0.07;0
15;"Andrei Ratiu";"D M";17;1530;0;1;1;1.12;1.49;3.12;0.09;0.18
16;"Sergio Camello";"F";12;427;0;0;1.69;1.05;1.36;0.12;0.29;0.03
17;"Óscar Valentín";"M";16;1055;0;0;0.68;0.17;0.39;0.64;0.03;0.06
18;"Randy Nteka";"S";4;26;0;0;6.92;3.46;0.05;0.02;0.17;0.08
19;"Pathé Ciss";"D M";14;951;0;0;0.85;0.57;1.23;0.2;0.12;0.02
20;"Augusto Batalla";"GK";18;1620;0;0;0;0.11;0;0.05;0;0
21;"Pedro Díaz";"F M";15;837;0;0;2.15;1.08;0.59;0.38;0.06;0.04
22;"Pelayo Fernández";"S";1;37;0;0;2.43;0;0.06;0;0.14;0
23;"Jozhua Vertrouwd";"D";4;201;0;0;0.45;0.9;0.08;0.08;0.04;0.03
24;"Samu Becerra";"S";3;9;0;0;0;10;0;0.08;0;0.85
