"number";"player";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"Kylian Mbappe-Lottin";"F";18;1591;18;4;4.98;2.77;16.84;6.22;0.95;0.35
2;"Vinícius Júnior";"F M";18;1360;5;5;3.38;2.12;6.44;4.43;0.43;0.29
3;"Jude Bellingham";"M";14;1019;4;3;2.65;2.12;5.58;2.2;0.49;0.19
4;"Arda Güler";"F M";18;1184;3;5;2.28;3.04;3.82;4.77;0.29;0.36
5;"Eduardo Camavinga";"M";12;494;1;0;0.73;1.28;0.81;0.97;0.15;0.18
6;"Eder Militão";"D";13;1006;1;1;1.52;0.63;1.47;1.09;0.13;0.1
7;"Rodrygo";"F M";16;515;1;1;3.5;2.1;1.92;1.77;0.34;0.31
8;"Álvaro Fernández";"D";16;1342;1;1;0.4;1.07;0.19;0.98;0.01;0.07
9;"Dean Huijsen";"D";13;974;1;1;1.2;0.65;1.63;0.87;0.15;0.08
10;"Franco Mastantuono";"D F M";10;557;1;0;2.91;1.13;1.84;1.24;0.3;0.2
11;"David Alaba";"D";3;56;0;0;1.61;0;0.05;0;0.07;0
12;"Thibaut Courtois";"GK";18;1620;0;0;0;0;0;0;0;0
13;"Trent Alexander-Arnold";"D M";8;393;0;1;0.69;1.83;0.06;0.75;0.01;0.17
14;"Antonio Rüdiger";"D";6;517;0;0;0.52;0.17;0.08;0.25;0.01;0.04
15;"Daniel Carvajal";"D";7;375;0;0;0.48;0.48;0.14;0.59;0.03;0.14
16;"Dani Ceballos";"M";10;345;0;0;0.52;1.83;0.06;0.44;0.01;0.11
17;"Federico Valverde";"D F M";17;1390;0;4;1.55;1.36;0.66;1.87;0.04;0.12
18;"Brahim Diaz";"F M";12;298;0;2;1.51;3.02;0.33;1.45;0.1;0.44
19;"Aurelien Tchouameni";"M";16;1316;0;0;1.23;0.89;1.55;1.96;0.11;0.13
20;"Fran García";"D M";6;412;0;0;0.44;0.44;0.43;0.07;0.09;0.02
21;"Gonzalo García";"F";13;156;0;0;2.31;1.73;1.45;0.22;0.84;0.13
22;"Endrick";"S";1;5;0;0;0;0;0;0;0;0
23;"David Jiménez";"S";1;1;0;0;0;0;0;0;0;0
24;"Raúl";"D";12;743;0;0;0.97;0.36;0.47;0.15;0.06;0.02
25;"Valde";"D";1;81;0;0;0;1.11;0;0.02;0;0.02
