"number";"player";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"Mikel Oyarzabal";"F";14;1240;5;3;3.19;1.74;7.36;3.82;0.53;0.28
2;"Gonçalo Guedes";"F M";17;849;3;1;2.01;1.27;1.71;0.63;0.18;0.07
3;"Brais Méndez";"F M";16;1024;3;2;1.76;1.49;2.39;1.53;0.21;0.13
4;"Ander Barrenetxea";"F M";15;996;3;3;1.81;2.26;1.52;4.28;0.14;0.39
5;"Carlos Soler";"M";14;777;2;1;1.74;1.74;1.4;1.43;0.16;0.17
6;"Takefusa Kubo";"F M";15;947;2;1;2;1.81;2.29;1.9;0.22;0.18
7;"Álvaro Odriozola";"D";1;59;1;0;1.53;0;0.57;0;0.87;0
8;"Orri Óskarsson";"F";3;110;1;0;2.45;0.82;0.92;0.33;0.76;0.27
9;"Jon Gorrotxategi";"M";16;1330;1;1;0.61;0.61;0.71;0.49;0.05;0.03
10;"Umar Sadiq";"F";5;157;0;0;2.29;0.57;0.19;0.31;0.11;0.18
11;"Aritz Elustondo";"D";8;334;0;0;0.54;0;0.1;0;0.03;0
12;"Igor Zubeldia";"D";14;1260;0;1;0.29;0.36;0.21;0.61;0.01;0.04
13;"Remiro";"GK";17;1530;0;0;0;0.18;0;0.11;0;0.01
14;"Sergio Gómez";"D M";17;1192;0;0;0.3;1.43;0.53;2.97;0.04;0.22
15;"Duje Caleta-Car";"D";10;822;0;0;0.66;0.33;0.97;0.2;0.11;0.02
16;"Aihen Muñoz";"D";11;462;0;0;0.58;0.39;0.12;0.17;0.02;0.03
17;"Yangel Herrera";"M";2;92;0;0;1.96;0;0.49;0;0.48;0
18;"Arsen Zakharyan";"M";11;262;0;0;2.06;2.75;0.13;0.86;0.04;0.29
19;"Urko Gonzalez";"S";1;6;0;0;0;0;0;0;0;0
20;"Beñat Turrientes";"M";8;272;0;0;1.99;0.33;0.24;0.02;0.08;0.01
21;"Jon Karrikaburu";"S";6;106;0;0;5.09;0.85;0.69;0.02;0.59;0.02
22;"Pablo Marín";"M";15;664;0;0;1.22;0.68;0.59;0.19;0.08;0.03
23;"Jon Aramburu";"D";15;1268;0;0;0.92;0.5;1.37;0.29;0.1;0.02
24;"Jon Martín";"D";9;810;0;0;0.78;0.11;0.71;0.03;0.08;0
25;"Luka Sucic";"M";6;193;0;0;1.87;0.93;0.24;0.09;0.11;0.04
26;"Arkaitz Mariezkurrena";"S";1;1;0;0;0;0;0;0;0;0
27;"Mikel Goti";"M";4;64;0;0;4.22;0;0.78;0;1.09;0
28;"Gorka Carrera";"S";1;8;0;0;0;0;0;0;0;0
29;"Lander Astiazarán";"S";1;1;0;0;90;0;0.02;0;1.9;0
