"number";"player";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"Ruben Vargas";"F M";12;900;3;4;2.2;1.1;2.22;1.76;0.22;0.18
2;"Akor Adams";"F";14;824;3;2;3.06;0.44;4.39;0.59;0.48;0.06
3;"Isaac Romero";"F";12;746;3;0;2.41;0.48;3.5;0.61;0.42;0.07
4;"Alexis Sánchez";"F M";12;607;2;1;1.63;2.22;1.47;1.17;0.22;0.17
5;"Djibril Sow";"M";13;952;2;0;0.76;0.57;0.49;0.65;0.05;0.06
6;"Dodi Lukebakio";"M";2;180;1;0;1;4.5;0.05;0.86;0.03;0.43
7;"Nemanja Gudelj";"D M";14;880;1;0;1.23;0.2;0.48;0.13;0.05;0.01
8;"Lucien Agoume";"M";14;1064;1;2;0.51;0.93;0.35;1.75;0.03;0.15
9;"Batista Mendy";"M";13;991;1;0;0.45;0.36;0.59;0.25;0.05;0.02
10;"Chidera Ejuke";"F M";12;378;1;1;2.38;1.43;1.1;0.74;0.26;0.18
11;"Alfon";"D M";10;298;1;0;3.32;1.81;0.9;0.34;0.27;0.1
12;"José Ángel Carmona";"D";15;1271;1;3;0.57;0.57;0.51;1.29;0.04;0.09
13;"Marcão";"D";13;935;1;0;0.96;0;0.92;0;0.09;0
14;"Peque";"M";13;500;1;0;1.98;1.98;0.58;0.38;0.11;0.07
15;"Ørjan Nyland";"GK";4;360;0;0;0;0;0;0;0;0
16;"Adnan Januzaj";"F M";8;165;0;0;0.55;2.73;0.09;0.29;0.05;0.16
17;"Odisseas Vlachodimos";"GK";13;1170;0;0;0;0;0;0;0;0
18;"César Azpilicueta";"D";9;681;0;0;0;0.13;0;0.02;0;0
19;"Joan Jordán";"S";2;9;0;0;0;0;0;0;0;0
20;"Adrià Pedrosa";"S";1;1;0;0;0;90;0;0.03;0;2.43
21;"Nianzou Kouassi";"D";5;308;0;0;0.88;0;0.13;0;0.04;0
22;"Juanlu Sanchez";"D M";13;952;0;1;0.57;0.95;0.46;0.79;0.04;0.07
23;"Kike Salas";"D";6;407;0;0;0.44;0.22;0.11;0.05;0.02;0.01
24;"Manu Bueno";"S";3;48;0;0;1.88;3.75;0.1;0.2;0.18;0.38
25;"Gabriel Suazo";"D";12;987;0;2;0.18;2.19;0.16;1.55;0.01;0.14
26;"Stanis Idumbo Muzambo";"M";1;48;0;0;1.88;1.88;0.05;0.27;0.09;0.5
27;"Ramón Martínez";"S";2;99;0;0;0;0;0;0;0;0
28;"Andrés Castrín";"D";8;604;0;0;0.6;0.15;0.2;0.03;0.03;0
29;"Oso";"D";3;203;0;1;0.89;3.1;0.2;1.25;0.09;0.56
30;"Miguel Sierra";"S";2;17;0;0;5.29;0;0.02;0;0.1;0
31;"Fábio Cardoso";"D";3;225;0;0;0;0;0;0;0;0
