"number";"player";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"Hugo Duro";"F";18;1065;6;0;1.86;0.93;5.01;0.97;0.42;0.08
2;"Arnaut Danjuma Groeneveld";"F M";17;1106;3;1;2.12;0.65;4.31;1.75;0.35;0.14
3;"Diego López";"F M";18;1167;3;0;1.47;0.62;2.67;1.23;0.21;0.1
4;"Pepelu";"M";16;1257;1;0;1.07;1.15;1.47;1;0.11;0.07
5;"Baptiste Santamaria";"M";15;651;1;1;0.83;0.55;0.52;0.74;0.07;0.1
6;"Mouctar Diakhaby";"D";8;539;1;0;0.67;0.17;0.63;0.06;0.11;0.01
7;"Luis Rioja";"M";17;1136;1;3;1.82;1.27;1.21;1.84;0.1;0.15
8;"Lucas Beltrán";"F";15;624;1;0;2.6;1.01;2.39;0.88;0.34;0.13
9;"José Gayá";"D";15;1111;0;1;0.49;0.89;0.24;1.31;0.02;0.11
10;"Dimitri Foulquier";"D";11;805;0;0;0.45;0.34;0.19;0.16;0.02;0.02
11;"Raba";"F";11;235;0;1;2.68;0.77;0.2;0.32;0.08;0.12
12;"Thierry Correia";"D";13;937;0;1;0.38;0.67;0.23;1.11;0.02;0.11
13;"Jesús Vázquez";"D";12;534;0;0;1.01;1.01;0.19;0.33;0.03;0.06
14;"Julen Agirrezabala";"GK";18;1620;0;0;0;0.06;0;0.01;0;0
15;"César Tárrega";"D";17;1461;0;0;0.31;0.12;0.21;0.09;0.01;0.01
16;"Javier Guerra";"M";18;1025;0;2;1.14;0.97;1.13;1.34;0.1;0.12
17;"Eray Cömert";"D";3;113;0;0;0;0;0;0;0;0
18;"Largie Ramazani";"S";9;146;0;1;4.93;1.23;0.37;0.59;0.23;0.36
19;"Copete";"D";15;1234;0;0;0.66;0.29;1.86;0.13;0.14;0.01
20;"André Almeida";"F M";12;724;0;1;0.87;1.37;0.24;1.25;0.03;0.15
21;"Filip Ugrinic";"M";8;266;0;2;1.35;1.02;0.09;0.82;0.03;0.28
