"number";"player";"position";"apps";"min";"goals";"assists";"sp90m";"kp90";"xG";"xA";"xG90";"xA90"
1;"Alberto Moleiro";"F M";16;1018;6;2;2.21;1.5;3.5;3.1;0.31;0.27
2;"Tajon Buchanan";"F M";16;987;5;0;1.19;1.09;1.73;1.7;0.16;0.16
3;"Gerard Moreno";"F";7;460;4;0;2.35;2.15;2.12;1.91;0.42;0.37
4;"Georges Mikautadze";"F";11;583;3;2;3.09;0.77;4.37;1.24;0.67;0.19
5;"Ayoze Pérez";"F";9;409;2;3;1.32;1.76;1.64;1.2;0.36;0.26
6;"Nicolas Pepe";"F M";15;940;2;1;2.78;2.59;5.59;2.92;0.53;0.28
7;"Santiago Comesaña";"M";15;1075;2;2;1.34;1;2.5;1.33;0.21;0.11
8;"Pape Alassane Gueye";"M";13;791;2;1;2.28;1.14;1.32;0.98;0.15;0.11
9;"Tani Oluwaseyi";"F";13;446;2;1;2.62;0.81;3.46;1.76;0.7;0.36
10;"Rafa Marín";"D";12;1072;1;0;0.25;0.17;0.18;0.11;0.02;0.01
11;"Manor Solomon";"M";6;129;1;1;1.4;1.4;0.61;0.47;0.42;0.33
12;"Etta Eyong";"F";3;258;1;2;2.44;1.05;1.5;0.71;0.52;0.25
13;"Thomas Partey";"M";12;622;0;0;1.16;0.72;0.33;0.19;0.05;0.03
14;"Daniel Parejo";"M";13;494;0;0;0.36;1.46;0.15;0.63;0.03;0.12
15;"Alfonso";"D";11;618;0;2;0.73;1.31;0.31;2.36;0.04;0.34
16;"Juan Foyth";"D";9;737;0;0;0.24;0;0.07;0;0.01;0
17;"Arnau Tenas";"GK";3;270;0;0;0;0;0;0;0;0
18;"Yeremi Pino";"M";2;165;0;1;1.09;3.27;0.13;0.86;0.07;0.47
19;"Ilias Akhomach";"M";9;166;0;0;3.25;2.71;1.1;0.64;0.59;0.35
20;"Renato Veiga";"D";14;999;0;0;0.63;0.09;0.16;0.03;0.01;0
21;"Sergi Cardona";"D";13;916;0;2;0.79;0.98;0.51;1.9;0.05;0.19
22;"Adrià Alti";"S";1;7;0;0;0;0;0;0;0;0
23;"Pau Navarro";"D";6;513;0;0;0.18;0.18;0.02;0.02;0;0
24;"Luiz Júnior";"GK";13;1170;0;0;0;0;0;0;0;0
25;"Santiago Mouriño";"D";10;888;0;1;0.51;0.3;0.29;0.09;0.03;0.01
26;"Carlos Macià";"S";2;46;0;0;1.96;0;0.02;0;0.05;0
